time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-14T04:50:22.630Z,38.8388329,-122.8363342,2.17,2.64,md,53,35,0.000705,0.05,nc,nc73678226,2022-01-14T06:07:11.735Z,"10km NW of The Geysers, CA",earthquake,0.15,0.22,0.13,38,automatic,nc,nc
2022-01-14T03:59:39.775Z,-7.7941,118.5495,10,4.5,mb,,90,3.009,0.82,us,us7000gbt7,2022-01-14T09:26:04.810Z,"76 km NNW of Bima, Indonesia",earthquake,8.4,1.9,0.192,10,reviewed,us,us
2022-01-14T02:24:29.520Z,40.0270004,-123.7470016,15.45,2.52,md,18,112,0.1429,0.13,nc,nc73678171,2022-01-14T04:11:11.942Z,"12km SSE of Redway, CA",earthquake,0.55,0.69,0.1,15,automatic,nc,nc
2022-01-13T23:45:26.724Z,54.5516,-163.3849,15.32,3.7,mb,,165,0.306,0.89,us,us7000gbs8,2022-01-14T00:23:20.040Z,"33 km S of False Pass, Alaska",earthquake,3.4,7.2,0.225,5,reviewed,us,us
2022-01-13T23:24:08.275Z,-27.4037,-70.6025,87.7,4.1,mb,,112,0.225,1.06,us,us7000gbs3,2022-01-14T00:14:47.040Z,"27 km W of Copiapó, Chile",earthquake,5.2,4.8,0.302,3,reviewed,us,us
2022-01-13T22:18:22.050Z,19.3286,-64.0921,37,3.92,md,15,339,1.5684,0.26,pr,pr2022013003,2022-01-13T23:00:24.040Z,"132 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,3.01,17.96,0.06,5,reviewed,pr,pr
2022-01-13T21:04:45.838Z,3.7206,126.8746,56.71,4.4,mb,,106,2.97,0.69,us,us7000gbra,2022-01-15T02:07:27.040Z,"243 km SE of Sarangani, Philippines",earthquake,10.3,9.4,0.115,22,reviewed,us,us
2022-01-13T19:32:49.455Z,9.8833,-84.5527,32.95,4.6,mb,,151,0.45,1.38,us,us7000gbqm,2022-01-14T15:58:57.784Z,"4 km SW of Orotina, Costa Rica",earthquake,7.5,6.9,0.042,169,reviewed,us,us
2022-01-13T19:26:58.275Z,54.8608,164.5958,10,4.2,mb,,166,3.966,0.93,us,us7000gbql,2022-01-13T21:59:22.040Z,"202 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,14.4,2,0.093,32,reviewed,us,us
2022-01-13T18:38:28.684Z,-7.3114,127.5446,10,4.6,mb,,53,3.78,0.8,us,us7000gbq6,2022-01-13T21:51:20.040Z,"146 km NNE of Lospalos, Timor Leste",earthquake,7.4,1.9,0.098,31,reviewed,us,us
2022-01-13T18:19:36.738Z,-26.8593,-71.2261,16.12,5,mww,,131,0.423,1.11,us,us7000gbpy,2022-01-13T20:34:59.162Z,"Off the coast of Atacama, Chile",earthquake,3.9,3.8,0.089,12,reviewed,us,us
2022-01-13T17:41:54.258Z,58.6663,-151.0666,54.9,2.7,ml,,,,0.57,ak,ak022lscrkv,2022-01-13T21:39:18.040Z,"88 km SSE of Port Graham, Alaska",earthquake,,1.7,,,automatic,ak,ak
2022-01-13T17:36:52.075Z,36.4707,70.2172,217.64,4.2,mb,,77,0.714,0.77,us,us7000gbpk,2022-01-13T21:33:02.040Z,"34 km ESE of Farkh?r, Afghanistan",earthquake,8.2,4,0.121,19,reviewed,us,us
2022-01-13T16:32:25.132Z,42.4862,-126.4752,10,3.2,ml,,240,1.824,0.72,us,us7000gbmr,2022-01-13T20:25:00.040Z,"164 km W of Port Orford, Oregon",earthquake,7.6,2,0.042,74,reviewed,us,us
2022-01-13T14:54:48.000Z,19.4058333333333,-155.7645,9.93,2.92,md,49,102,,0.16,hv,hv72870797,2022-01-13T23:33:43.170Z,"11 km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.26,0.24,0.147608092765886,20,reviewed,hv,hv
2022-01-13T13:52:00.739Z,-24.425,-67.1327,180.7,4.3,mb,,65,1.752,0.98,us,us7000gbm4,2022-01-13T15:13:35.040Z,"85 km WSW of San Antonio de los Cobres, Argentina",earthquake,8.2,6,0.09,35,reviewed,us,us
2022-01-13T13:32:34.140Z,19.1531666666667,-155.499333333333,32.18,2.81,ml,54,131,,0.11,hv,hv72870667,2022-01-14T01:52:21.540Z,"5 km SSW of P?hala, Hawaii",earthquake,0.43,0.52,0.187857405209288,18,reviewed,hv,hv
2022-01-13T13:18:21.446Z,62.1411,-152.0896,102,2.5,ml,,,,0.62,ak,ak022lpu1ui,2022-01-13T15:20:48.040Z,"39 km WNW of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-01-13T12:14:02.484Z,51.5461,16.2676,10,4.3,mb,,71,1.198,1.12,us,us7000gblv,2022-01-13T12:34:08.040Z,"4 km N of Rudna, Poland",earthquake,3.2,1.9,0.202,7,reviewed,us,us
2022-01-13T11:19:55.039Z,61.5721,-146.4122,28.1,2.6,ml,,,,0.92,ak,ak022longwy,2022-01-13T13:20:08.040Z,"49 km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-01-13T10:33:52.850Z,40.0258331,-123.7583313,16.4,2.8,md,23,116,0.1367,0.14,nc,nc73677916,2022-01-13T14:02:33.040Z,"12km SSE of Redway, CA",earthquake,0.43,0.58,0.08,20,automatic,nc,nc
2022-01-13T08:37:21.470Z,19.2233333333333,-155.418833333333,34.15,2.78,ml,54,135,,0.12,hv,hv72870287,2022-01-14T00:38:46.320Z,"Island of Hawaii, Hawaii",earthquake,0.44,0.49,0.120266893689595,32,reviewed,hv,hv
2022-01-13T08:23:09.790Z,33.3718333,-116.3925,5.06,2.75,ml,104,17,0.04974,0.19,ci,ci39910983,2022-01-14T15:48:58.737Z,"13km N of Borrego Springs, CA",earthquake,0.12,0.52,0.141,26,reviewed,ci,ci
2022-01-13T07:42:38.627Z,48.9761,-68.0775,10.47,3,ml,,158,0.76,0.28,us,us7000gbtq,2022-01-15T05:52:50.040Z,"27 km S of Baie-Comeau, Canada",earthquake,3.5,8.6,0.074,24,reviewed,us,us
2022-01-13T07:40:08.933Z,13.6021,-91.2659,35,4.2,mb,,179,1.474,0.72,us,us7000gbk5,2022-01-13T08:14:45.040Z,"57 km SSW of La Gomera, Guatemala",earthquake,8.5,2,0.087,37,reviewed,us,us
2022-01-13T07:23:21.615Z,-1.5261,127.3379,10,4.8,mb,,79,2.282,0.8,us,us7000gbk1,2022-01-13T07:46:32.040Z,"251 km S of Sofifi, Indonesia",earthquake,4.5,1.9,0.086,42,reviewed,us,us
2022-01-13T06:49:11.922Z,58.3053,-153.6169,61.3,2.5,ml,,,,0.54,ak,ak022llun0y,2022-01-13T07:28:29.040Z,"49 km WNW of Aleneva, Alaska",earthquake,,1,,,automatic,ak,ak
2022-01-13T06:28:54.767Z,13.4101,-91.2384,35,4.1,mb,,153,1.499,0.74,us,us7000gbjj,2022-01-13T13:57:05.717Z,"72 km SW of Puerto San José, Guatemala",earthquake,7.8,2,0.076,47,reviewed,us,us
2022-01-13T06:26:16.835Z,31.0209,131.4771,41.03,4.7,mb,,127,1.003,0.66,us,us7000gbjl,2022-01-13T06:47:23.040Z,"55 km NE of Nishinoomote, Japan",earthquake,6.8,7.8,0.081,47,reviewed,us,us
2022-01-13T05:47:11.142Z,51.2353,-179.201,35,5,mb,,140,0.634,0.82,us,us7000gbj9,2022-01-15T05:57:26.240Z,"191 km WSW of Adak, Alaska",earthquake,4.1,2,0.027,422,reviewed,us,us
2022-01-13T04:13:45.942Z,-23.0109,-69.2739,77.48,4.1,mb,,68,0.267,0.66,us,us7000gbiy,2022-01-13T04:28:18.040Z,"71 km SSW of Calama, Chile",earthquake,4.7,3.7,0.145,13,reviewed,us,us
